B00,King's Pawn Opening; B00,e2e4,
D14,"Symmetrical Line, Slav; D14",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 c4d5 c6d5 b1c3 b8c6 c1f4 c8f5,
D14,"Trifunovic Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 c4d5 c6d5 b1c3 b8c6 c1f4 c8f5 e2e3 e7e6 d1b3 f8b4,
D11,"Quiet Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3,
D12,"Schallopp Defense, Slav; D12",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5,
D12,"Amsterdam Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 c4d5 c6d5 b1c3,
D12,"Rotterdam Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 c4d5 c6d5 d1b3,
D12,"Landau Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 c4d5 c6d5 d1b3 d8c8 c1d2 e7e6 b1a3,
D12,"Pin Defense, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8g4,
D11,"Breyer Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1d2,
D15,"Three Knights Variation, Slav; D15",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3,
D15,"Chameleon Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 a7a6,
D15,"Advance System, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 c6c5,
D15,"Two Knights Attack, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4,
D16,"Alapin Variation, Slav; D16",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4,
D17,Czech Defense; Open Slav Defense; D17,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5,
D18,"Dutch Variation, Slav; D18",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3,
D19,"Main Line, Czech Variation, Slav; D19",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 e8g8 d1e2,
D18,"Mareschall Variation, Slav; Lasker Variation",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 b8a6,
D17,"Krause Attack, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5,
D17,"Wiesbaden Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 e7e6,
D17,"Sharp Line, Wiesbaden Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 e7e6 f2f3 f8b4 e2e4,
