B00,King's Pawn Opening; B00,e2e4,
C96,"Keres Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6a5 b3c2 c7c5 d2d4 f6d7,
C97,"Chigorin Variation, Ruy Lopez; C97",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6a5 b3c2 c7c5 d2d4 d8c7,
C94,"Breyer; Retreat Variation, Ruy Lopez; C94",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8,
C95,C95,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4,
C95,"Borisenko Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7,
C95,"Arseniev Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7 c3c4,
C95,"Simagin Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7 f3h4,
C92,"Keres Defense, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 f6d7,
C92,"Zaitsev System, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 f8e8,
C88,"Rosen Attack, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 d2d4,
C88,"Anti-Marshall Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 a2a4,
C89,C89,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3,
C89,"Marshall Attack, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d5,
C89,"Marshall Counter-Attack, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d5 d2d4,
C89,"Steiner Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d5 e4d5 e5e4,
C90,"Suetin Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d6 a2a3,
C87,"Averbakh Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 d7d6,
C87,"Kecskemet; Timbuktu Var, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 d7d6 c2c3 e8g8 d2d4 c8d7 b1d2 d7e8,
C87,"Romanovsky Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 d7d6 c2c3 e8g8 d2d4 c8d7 b1d2 e5d4 c3d4 c6b4,
C79,"Central Countergambit, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 d7d5,
C79,"Russian Defense, Ruy Lopez; C79; Lasker Defense",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 d7d6,
C79,"Brix Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 g7g6,
C80,"Tarrasch; Open Variation, Ruy Lopez; C80",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4,
C80,"Schlechter Defense, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 a2a4 c6d4,
C80,"Berger Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 a2a4 c6d4 f3d4 e5d4 b1c3,
C80,"Harksen Gambit, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 c2c4,
C83,"Malkin Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5,
C81,Keres; Estonian; Howell; Moscow Var,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6,
C82,C82,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3,
C82,"Italian Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8c5,
C82,"St Petersburg Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8c5 b1d2,
C82,"Dilworth; Kleczynski Var, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8c5 b1d2 e8g8 b3c2,
C82,"Motzko Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8c5 d1d3,
C82,"Nenarokov Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8c5 d1d3 c6e7,
C83,C83,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8e7,
C83,"Breslau Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8e7 f1e1 e8g8 f3d4,
C82,"Berlin Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 e4c5,
C80,"Bernstein Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 b1d2,
C80,"Karpov Gambit, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 b1d2 e4c5 c2c3 d5d4,
C81,"Howell Attack, Ruy Lopez; C81",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 d1e2,
C81,"Adam Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 d1e2 f8e7 c2c4,
C81,"Ekstrom Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 d1e2 f8e7 f1d1 e8g8 c2c4,
C80,"Zukertort Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c6e7,
C80,"Richter Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 d4d5,
C80,"Friess Attack, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 f3e5,
C80,"Riga Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 e5d4,
C80,"Knoore Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 b1c3,
C80,"Tartakower Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d1e2,
C80,"Skipworth Gambit, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 f1e1 d7d5,
C77,"Wormald Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d1e2,
C70,"Cozio Defense Deferred, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8e7,
C68,"Exchange Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6,
C68,"Lutikov Variation, Ruy Lopez Exchange",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 b7c6,
C68,"Keres Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 b7c6 b1c3,
C68,"Romanovsky Variation, Ruy Lopez Exchange",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 b7c6 b1c3 f7f6 d2d3,
C68,"Alekhjne Variation, Ruy Lopez Exchange",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 d7c6 d2d4 e5d4 d1d4 d8d4 f3d4 f8d6,
C68,"Barendregt-Fischer Var, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 d7c6 e1g1,
C68,"King's Bishop Variation, Ruy Lopez Exchange",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 d7c6 e1g1 f8d6,
C68,"Alapin Gambit, Ruy Lopez Exchange",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 d7c6 e1g1 c8g4 h2h3 h7h5,
C69,"Gligoric Variation, Ruy Lopez; C69",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 d7c6 e1g1 f7f6,
C69,"Bronstein Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 d7c6 e1g1 d8d6,
C60,"Rotary-Albany Gambit, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 b7b6,
C60,"Alapin Defense, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f8b4,
C60,"Alapin Gambit, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f8b4 c2c3 b4a5 b5c6 d7c6,
C64,"Classical; Cordel Var, Ruy Lopez; C64",e2e4 e7e5 g1f3 b8c6 f1b5 f8c5,
C64,"Spanish Wing Gambit, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 b2b4,
C64,"Charousek Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 c2c3 c5b6,
C64,"Konikowski Gambit, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 c2c3 d7d5,
C64,"Cordel Gambit, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 c2c3 f7f5,
C64,"Benelux Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 c2c3 g8f6 d2d4 c5b6 e1g1 e8g8,
C64,"Boden Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 c2c3 d8e7,
C64,"Zaitsev Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 e1g1 c6d4 b2b4,
C64,"Zukertort Gambit, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 e1g1 g8f6 c2c3,
C60,"Lucena Defense, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f8e7,
C60,"Sawyer's Gambit, Ruy Lopez; Spanish Countergambit",e2e4 e7e5 g1f3 b8c6 f1b5 d7d5,
C60,"Harding Gambit, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 d7d5 f3e5 d8g5 e5c6,
C60,"Fricke Gambit, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 d7d5 f3e5 d8g5 e1g1,
C62,"Steinitz Defense, Ruy Lopez; C62",e2e4 e7e5 g1f3 b8c6 f1b5 d7d6,
C62,"Nimzovich Attack, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 d2d4 c8d7 b1c3 g8f6 b5c6,
C62,"Center Gambit, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 d2d4 e5d4 e1g1,
C63,"Schliemann; Jaenisch Var, Ruy Lopez; C63",e2e4 e7e5 g1f3 b8c6 f1b5 f7f5,
C63,"Exchange Variation, Schliemann Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 b5c6,
C63,"Schoenemann Attack, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 d2d4,
C63,"Jaenisch Gambit Accepted, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 e4f5,
C63,"Berger (Dyckhoff) Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 b1c3,
C63,"Kostic Defense, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 b1c3 f5e4 c3e4 f8e7,
C63,"Moehring Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 b1c3 f5e4 c3e4 d7d5 f3e5 d5e4 e5c6 d8d5,
C63,"Tartakower Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 b1c3 f5e4 c3e4 g8f6,
C63,"Soviet Youth Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 b1c3 c6d4 e1g1,
C63,"Kostic Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 b1c3 g8f6 e4f5 f8c5,
C60,"Nuremberg Defense, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 f7f6,
C60,"Brentano Defense, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g7g5,
C60,"Barnes; Smyslov; Fianchetto Var, Ruy",e2e4 e7e5 g1f3 b8c6 f1b5 g7g6,
C61,"Bird Defense, Ruy Lopez; C61",e2e4 e7e5 g1f3 b8c6 f1b5 c6d4,
C61,"Paulsen Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 g8e7,
C65,"Berlin Defense, Ruy Lopez; C65",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6,
C65,"Kaufmann Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 c1e3,
C65,"Anderssen Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 d7d6 b5c6,
C65,"Duras Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 d7d6 c2c4,
C65,"Mortimer Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 c6e7,
C65,"Mortimer Trap, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 c6e7 f3e5 c7c6,
C65,"Nyholm Attack, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d4 e5d4 e1g1,
C65,"Beverwijk Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f8c5,
C66,"Improved Steinitz Defense, Ruy Lopez; C66",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 d7d6,
C66,"Hedgehog Defense, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 d7d6 d2d4 c8d7 b1c3 f8e7,
C66,"Closed Bernstein Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 d7d6 d2d4 c8d7 b1c3 f8e7 c1g5,
C66,"Closed Showalter Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 d7d6 d2d4 c8d7 b1c3 f8e7 b5c6,
C66,"Tarrasch Trap, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 d7d6 d2d4 c8d7 b1c3 f8e7 f1e1 e8g8,
C66,"Closed Wolf Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 d7d6 d2d4 c8d7 b1c3 e5d4,
C66,"Fishing Pole Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6g4,
C67,"Rio Gambit Accepted, Ruy Lopez; C67",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4,
C67,"Rosenthal Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 a7a6,
C67,"Rio de Janeiro Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 f8e7,
C67,"Minckwitz Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 f8e7 d4e5,
C67,"Trifunovic Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 f8e7 d1e2 d7d5,
C67,"Pillsbury Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 f8e7 d1e2 e4d6 b5c6 b7c6 d4e5 d6b7 b2b3,
C67,"Zukertort Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 f8e7 d1e2 e4d6 b5c6 b7c6 d4e5 d6b7 c2c4,
C67,"Berlin; Rio de Janerio Var, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 f8e7 d1e2 e4d6 b5c6 b7c6 d4e5 d6b7 b1c3 e8g8 f1e1,
C67,"Winawer Attack, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 f8e7 d1e2 e4d6 b5c6 b7c6 d4e5 d6b7 f3d4 e8g8,
C67,"Cordel Defense, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 f8e7 d1e2 e4d6 b5c6 b7c6 d4e5 d6f5,
C67,"L'Hermet Variation, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 e4d6,
C67,"Westerinen Line, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 e4d6 b5c6 d7c6 d4e5 d6e4,
C60,"Cozio Defense, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8e7,
C60,"Tartakower Gambit, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8e7 d2d4 e5d4 f3d4 g7g6 b1c3 f8g7 c1e3 e8g8 d1d2 d7d5,
C60,"Paulsen Variation, Cozio Defense, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 g8e7 b1c3 g7g6,
C60,"Vinogradov Var, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 d8e7,
C60,"Frankfort; Gunderam Var, Ruy Lopez",e2e4 e7e5 g1f3 b8c6 f1b5 d8f6,
C50,Italian Game; C50,e2e4 e7e5 g1f3 b8c6 f1c4,
C50,Giuoco Piano; Italian Opening,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5,
C51,Evans Gambit; C51,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4,
C51,"Lange Variation, Evans Gambit",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b6 b4b5 c6a5 f3e5 g8h6,
C51,Evans Gambit Accepted,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4,
C52,"Main Line, Evans Gambit; C52",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5,
C52,"Leonhardt Variation, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 d2d4 b7b5,
C52,"Sokolsky Variation, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 d2d4 d7d6 c1g5,
C52,"Lasker Defense, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 d2d4 d7d6 e1g1 a5b6,
C52,"Tartakower Attack, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 d2d4 d7d6 d1b3,
C52,"Pierce Defense, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 d2d4 e5d4,
C52,"Schulen Defense, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 d2d4 e5d4 e1g1 b7b5,
C52,"Waller Attack, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 d2d4 e5d4 e1g1 d7d6 d1b3,
C52,"Compromised Defense, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 d2d4 e5d4 e1g1 d4c3,
C52,"Mieses Defense, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 d2d4 e5d4 e1g1 g8e7,
C52,"Slow Variation, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1,
C52,"Richardson Attack, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 g8f6 d2d4 e8g8 f3e5,
C51,"Normal Position, Evans Gambit",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4c5 d2d4 e5d4 e1g1 d7d6 c3d4 c5b6,
C51,"Ulvestad Variation, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4c5 d2d4 e5d4 e1g1 d7d6 c3d4 c5b6 d4d5 c6a5 c1b2,
C51,"Paulsen Variation, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4c5 d2d4 e5d4 e1g1 d7d6 c3d4 c5b6 d4d5 c6a5 c1b2 g8e7,
C51,"Morphy Attack, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4c5 d2d4 e5d4 e1g1 d7d6 c3d4 c5b6 b1c3,
C51,"Fraser Attack; Mortimer, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4c5 d2d4 e5d4 e1g1 d7d6 c3d4 c5b6 b1c3 c8g4 d1a4,
C51,"Goering Attack, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4c5 d2d4 e5d4 e1g1 d7d6 c3d4 c5b6 b1c3 c6a5 c1g5,
C51,"Stone-Ware Defense, Evans Gambit",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4d6,
C51,"Anderssen Variation, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4e7,
C51,"Cordel Line, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4e7 d2d4 c6a5,
C51,"Hein Countergambit, Evans",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 d7d5,
C50,Jerome Gambit; Kentucky Opening,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c4f7,
C53,"Classical Variation, Italian; C53",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3,
C53,"Labourdonnais Variation, Italian",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 d7d6 d2d4 e5d4 c3d4 c5b6,
C53,"Alexandre Gambit, Italian",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 f7f5,
C54,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6,
C54,"Bird Attack, Italian",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 b2b4,
C53,Giuoco Pianissimo,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3,
C53,"Center Attack, Italian",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4,
C53,"Grevo Gambit, Italian",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 c3d4,
C54,"Cracow Variation, Italian",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 c3d4 c5b4 e1f1,
C54,"Moeller (Therkatz) Attack, Italian",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 c3d4 c5b4 b1c3 f6e4 e1g1 b4c3 d4d5,
C54,"Therkatz-Herzog, Italian",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 c3d4 c5b4 b1c3 f6e4 e1g1 b4c3 d4d5 c3f6 f1e1 c6e7,
C54,"Greco Variation, Italian",e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 c3d4 c5b4 b1c3 f6e4 e1g1 e4c3,
